original,mapped,clouds,pedro
thumb?thumbid=01318c7869b9858326490fcff48c199d&token=4338778d36a0ce4a66152818f86c48a0,001.png,0.583235682529659,0.4
thumb?thumbid=0894ef62bc89542cab00c3c22610b664&token=b94bfc1ba92df957ea92dbbffeb9d4eb,015.png,0.9375149665782034,0.9
thumb?thumbid=1e94600930a2393f1980b0378beedd04&token=20db9d6c5f24db7f8b4c98e3d1129bba,039.png,0.5998493976210804,0.7
thumb?thumbid=20a6ec19a438b9fab592fae4b27f8e8a&token=cd6c8d53439fc08062c2217cfef1fe8a,040.png,0.3707212209067191,0.2
thumb?thumbid=22edd69aed362e0019383c5fa9c4b440&token=794cf146d2d0d054d8f2961cff0b5fc8,044.png,0.9497012819940234,0.95
thumb?thumbid=282d0a3965c7cdc59c0415f7f0c9ac73&token=37dbbe5512686e4d834b96ff1b0ba774,049.png,0,0
thumb?thumbid=29b60a339c3006bd470b657c139af06c&token=babb9885ab6c1c1ba9f2e380c2abdee4,050.png,0.4752121210333489,0.4
thumb?thumbid=2be492d3442f061e462c8bddcb9f7b34&token=23c4cadb69898e11baa776f95cb094e3,052.png,0.3919253916257724,0.3
thumb?thumbid=311435c55f1d7c392ca5bca70dc61d07&token=18020a8afeb10a26e4fa97cfb48c716c,056.png,0.7601275701226723,0.7
thumb?thumbid=40b217dcff8880ee3db3bc217aa92a6c&token=c43f34d2299c6f25cadb3ff711afedc7,063.png,0.007528992152215169,0.04
thumb?thumbid=43404d0e1258f13cfc71f40d887c4e6b&token=6000e8d0c25c739f83604bf18703d6fd,066.png,0.526731673419092,0.45
thumb?thumbid=5e6a41e275c63e2dd2dcfc0d34f5b31c&token=8c5aa8db855e17920c9ce3512412cdca,099.png,0.002316649562029386,0.04
thumb?thumbid=60d0ed794c76a00e8a675ac27e3d7b3e&token=a01075d00dc1a0e53ed84d8fb04dc5ab,102.png,0.7036801987190003,0.5
thumb?thumbid=6319efb9dadd1743456a6ea0a1ca5080&token=2039eaae3505d9ccbd8125959c2639d5,104.png,0,0.01
thumb?thumbid=640afe5b1d27d731cfae00be64a2a4d5&token=49e37604bb2e173bb5c55fde166475c6,105.png,0.0023154242172947186,0.03
thumb?thumbid=669130df1b79ac871aaa8a4fe2079212&token=d2a4e73a1286000a46f244179a19d19d,108.png,0.6440594502931166,0.65
thumb?thumbid=718071cda01ccef37dd97304f3cbf8fd&token=22377d361fb5949af8898028df478dc4,113.png,0.3375288749546644,0.35
thumb?thumbid=7cb71cccc24f7d45098c8ac27bf51e99&token=36e2d07285aa29b367c4e7bbd691617f,128.png,0.4919633867346373,0.3
thumb?thumbid=c65449103de6254994da5633d198345d&token=fb9b54c0d6752ca241d93cf5ccb135a3,192.png,0.28543964231817226,0.25
thumb?thumbid=e1ec0d4a15abcd7e0b012c53d9f2e2fe&token=014e325c9e4ef08e33597eb58ffbcbb0,225.png,0.24874837146754186,0.2
